"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0x1671a4da273c3eea944d96e842c8bec584263cf419e515134dca8ce8830bb017","1643138886","2022-01-25 19:28:06","0xe537f70a8b62204832b8ba91940b77d3f79aeb81","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","2,354.316552","0xe3f5a90f9cb311505cd691a46596599aa1a0ad7d","USD Coin","USDC"
"0xb58ed8e729e2be6ccc281279cb3a057430bb8c536c405e9d071d91d1b4401e3d","1643539878","2022-01-30 10:51:18","0xe537f70a8b62204832b8ba91940b77d3f79aeb81","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","3,879.479408","0xe3f5a90f9cb311505cd691a46596599aa1a0ad7d","USD Coin","USDC"
"0xbdeb5b5e60aac556182f335f72289a33fa90e9d5015d911e47b5eb52c3780afd","1643652138","2022-01-31 18:02:18","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0x0000000000000000000000000000000000000000","0.005544258955130301","0x78dc4b7c7a89812fb337dd8c3b0ccb3e04e02d7c","Moo Solar MOVR-USDC","mooSolarMOVR-USDC"
"0xbdeb5b5e60aac556182f335f72289a33fa90e9d5015d911e47b5eb52c3780afd","1643652138","2022-01-31 18:02:18","0x78dc4b7c7a89812fb337dd8c3b0ccb3e04e02d7c","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0.006661510905463106","0xe537f70a8b62204832b8ba91940b77d3f79aeb81","SolarBeam LP Token","SLP"
"0xc3f39892f8a55f1c2e7b879fab13828776b2ed8fd1af411d9d4df72779268098","1643652486","2022-01-31 18:08:06","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0xe537f70a8b62204832b8ba91940b77d3f79aeb81","0.006661510905463106","0xe537f70a8b62204832b8ba91940b77d3f79aeb81","SolarBeam LP Token","SLP"
"0xc3f39892f8a55f1c2e7b879fab13828776b2ed8fd1af411d9d4df72779268098","1643652486","2022-01-31 18:08:06","0xaa30ef758139ae4a7f798112902bf6d65612045f","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","74,291.539118","0xe3f5a90f9cb311505cd691a46596599aa1a0ad7d","USD Coin","USDC"
"0x95da5d39d017e63b94382442734042c6474b11a2293cfe4ff1d881efaa6ce45e","1643652942","2022-01-31 18:15:42","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0x0000000000000000000000000000000000000000","0.000810697049815198","0x0fb94775d16e14627678391d24e4576fda05e3ed","Moo Solar WBTC-MOVR","mooSolarWBTC-MOVR"
"0x95da5d39d017e63b94382442734042c6474b11a2293cfe4ff1d881efaa6ce45e","1643652942","2022-01-31 18:15:42","0x0fb94775d16e14627678391d24e4576fda05e3ed","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0.000888894854205085","0x32e33b774372c700da12f2d0f7a834045f5651b2","SolarBeam LP Token","SLP"
"0x8daf6a20a3d011c4f69da7248c791758f50856d4936b3226043bb3f8f68c86e0","1643653062","2022-01-31 18:17:42","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0x32e33b774372c700da12f2d0f7a834045f5651b2","0.000888894854205085","0x32e33b774372c700da12f2d0f7a834045f5651b2","SolarBeam LP Token","SLP"
"0x8daf6a20a3d011c4f69da7248c791758f50856d4936b3226043bb3f8f68c86e0","1643653062","2022-01-31 18:17:42","0xaa30ef758139ae4a7f798112902bf6d65612045f","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","3.9520778","0x6ab6d61428fde76768d7b45d8bfeec19c6ef91a8","Wrapped BTC","WBTC"
"0x952965e721fddfe9f3b07c05726dbb1a04d2c56335e145d4e206773258c015de","1643658726","2022-01-31 19:52:06","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0x0000000000000000000000000000000000000000","0.075566306867903612","0x2e8409ee2a8635f5eabd3a86e248252291285c40","Moo Solar SOLAR-USDC","mooSolarSOLAR-USDC"
"0x952965e721fddfe9f3b07c05726dbb1a04d2c56335e145d4e206773258c015de","1643658726","2022-01-31 19:52:06","0x2e8409ee2a8635f5eabd3a86e248252291285c40","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0.111223981871165273","0xdb66be1005f5fe1d2f486e75ce3c50b52535f886","SolarBeam LP Token","SLP"
"0x79d92647d9319920a0f4f5914b38295123b6daf8b988a0293ba4766ff32b960e","1643658804","2022-01-31 19:53:24","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0xdb66be1005f5fe1d2f486e75ce3c50b52535f886","0.111223981871165273","0xdb66be1005f5fe1d2f486e75ce3c50b52535f886","SolarBeam LP Token","SLP"
"0x79d92647d9319920a0f4f5914b38295123b6daf8b988a0293ba4766ff32b960e","1643658804","2022-01-31 19:53:24","0xdb66be1005f5fe1d2f486e75ce3c50b52535f886","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","131,023.784945815682927642","0x6bd193ee6d2104f14f94e2ca6efefae561a4334b","SolarBeam Token","SOLAR"
"0x79d92647d9319920a0f4f5914b38295123b6daf8b988a0293ba4766ff32b960e","1643658804","2022-01-31 19:53:24","0xdb66be1005f5fe1d2f486e75ce3c50b52535f886","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","110,703.563552","0xe3f5a90f9cb311505cd691a46596599aa1a0ad7d","USD Coin","USDC"
"0xb657cfdcfcb39596fd796ff1d91a5c1da37f2f46ae3a54fcbb22a87fc9bfbf5e","1643659476","2022-01-31 20:04:36","0x66fb1cd65b97fa40457b90b7d1ca6b92cb64b32b","0x0000000000000000000000000000000000000000","191,228","0xe3f5a90f9cb311505cd691a46596599aa1a0ad7d","USD Coin","USDC"
